id,count,excerptpostid
1,1342,20258
2,168,62158
3,6,-1
4,191,67815
5,13,-1
6,1880,8046
9,2564,9066
10,514,20490
11,219,28276
12,120,69287
15,97,66319
16,157,-1
17,75,64387
18,30,-1
21,1333,9251
23,23,63450
26,75,87156
27,310,40526
28,127,40912
30,2737,3017
33,437,28218
37,292,21863
38,2000,3019
39,487,28336
41,7244,2331
44,490,28212
46,41,67696
47,1585,8556
48,75,-1
50,169,28194
52,3,-1
54,982,20484
55,1111,3015
58,143,68772
59,316,33480
60,236,63555
62,535,50760
67,7,-1
72,559,20492
74,608,3190
75,117,62398
76,21,-1
77,304,38335
78,197,26936
79,98,38369
82,3,-1
85,457,9286
86,165,28979
87,83,90673
88,71,-1
89,55,-1
93,105,68858
94,1338,20262
102,14,-1
109,774,8579
110,53,-1
111,5413,8172
113,317,28332
117,17,-1
118,37,21498
119,219,65955
120,171,38519
121,135,26618
122,307,33482
124,98,79731
125,126,62173
126,838,28210
127,668,19424
128,189,-1
129,681,26938
130,50,-1
131,756,18402
132,152,28977
133,148,63580
135,1362,20260
136,2,80769
138,32,80431
141,60,22100
143,41,80472
144,124,64646
147,766,18602
148,97,67588
150,6,66066
152,32,-1
157,277,35289
158,420,50757
159,885,20488
160,408,28226
161,586,28329
162,229,64717
169,36,62698
170,29,63188
171,77,-1
173,17,-1
176,489,8944
177,7,-1
179,135,68821
182,104,87259
183,122,32759
186,37,-1
188,2081,20256
194,106,-1
196,60,-1
197,3,-1
198,53,-1
200,439,31779
201,72,68576
203,8,66382
204,4,-1
206,448,28220
207,160,79721
210,252,28334
211,47,-1
213,911,33251
215,205,21859
216,331,19816
217,3,-1
218,452,33486
219,614,28325
220,41,50292
221,568,14288
222,17,-1
223,61,112518
225,89,70908
229,185,16297
231,463,7381
233,150,38878
234,19,76632
235,16,-1
236,62,40843
237,504,3013
240,5,18561
241,71,-1
243,667,10765
246,836,6137
249,59,-1
250,128,63474
251,98,43068
255,388,63363
256,369,31983
257,184,32804
260,78,66323
262,8,-1
263,872,2417
270,16,-1
272,131,28273
274,177,65033
275,939,18573
276,26,-1
278,81,-1
280,103,65151
281,76,38823
283,602,20494
284,210,61833
288,590,28216
289,41,79440
290,127,28270
291,23,-1
294,175,41309
295,20,20541
296,81,65149
297,9,-1
299,125,61383
300,49,-1
303,73,62078
304,22,113470
305,786,21857
306,81,-1
307,460,4037
308,59,61388
309,21,73482
310,102,51631
312,25,-1
313,32,37603
319,246,65294
320,32,-1
321,624,20264
322,174,13030
323,225,28900
325,113,79473
328,101,28305
329,136,64824
332,12,-1
333,58,64391
334,32,46725
336,79,59373
337,385,63459
338,93,32514
340,386,8577
341,13,-1
342,72,-1
345,48,65560
346,18,65571
347,224,65622
348,110,-1
349,81,65155
351,23,-1
353,149,48003
354,75,67822
355,56,28280
356,441,28453
357,177,65139
358,26,9861
359,350,28667
361,157,28266
362,175,69060
363,28,-1
364,3,-1
368,11,80690
369,2,80679
373,70,-1
377,120,63410
378,581,17765
379,412,50711
380,53,-1
383,520,33253
384,67,47335
386,211,28927
387,3,65823
388,58,-1
389,42,-1
390,80,-1
391,32,40915
393,5,-1
394,13,-1
396,46,-1
397,92,69301
398,150,2601
399,42,65742
401,245,63404
402,10,16367
403,244,14282
405,210,28902
406,50,-1
407,30,-1
409,199,65137
410,17,-1
411,9,80688
412,9,-1
414,289,64377
416,39,-1
419,108,69311
420,136,62162
421,142,68063
422,24,-1
423,101,62164
425,636,21883
427,342,64221
428,4,-1
429,139,65141
430,743,14121
436,267,28303
437,12,-1
438,68,68977
441,56,66542
442,248,28794
443,253,31288
446,27,63087
447,154,-1
448,15,80394
449,247,15345
451,174,21867
452,33,-1
454,123,65147
455,111,-1
459,21,-1
460,4,-1
461,15,-1
462,128,68614
463,153,40435
465,320,61881
467,331,65135
469,319,33488
471,45,-1
473,97,92319
476,89,-1
478,6,-1
480,35,-1
481,357,28411
486,54,35793
488,27,-1
489,215,62169
490,158,-1
491,16,-1
492,111,33729
493,118,31987
494,18,-1
495,186,40433
497,12,-1
498,90,68627
499,208,65588
501,144,38344
505,261,8946
507,300,41299
508,60,14115
509,249,28259
510,91,-1
516,32,90804
517,40,68750
518,41,63299
523,30,99291
525,36,9210
529,1165,20486
530,5,80677
531,81,68712
532,28,69052
533,40,40834
534,154,40431
537,44,-1
538,181,15654
539,8,-1
540,42,15332
541,154,55903
546,155,63563
550,105,64665
551,2,65511
553,12,80776
554,201,28261
556,3,-1
557,22,-1
558,84,40523
559,60,62688
560,24,65331
562,21,79744
563,62,62404
564,141,38880
565,119,28268
567,7,-1
569,105,58823
571,5,-1
572,21,63374
574,30,-1
575,153,68621
579,7,80774
580,29,63310
585,21,62885
586,14,65323
587,158,86028
589,190,61386
591,380,28792
592,36,28774
594,39,65337
595,24,62233
596,8,-1
597,91,62620
599,12,-1
601,78,68824
602,70,-1
603,121,40438
605,22,94287
608,15,80705
616,138,-1
617,119,19849
619,26,90946
620,106,66505
621,429,28535
622,74,65167
623,135,62166
627,11,-1
628,160,32711
629,33,-1
631,329,30438
632,92,40521
633,10,-1
634,121,63406
636,514,33484
639,34,-1
640,131,99598
641,24,80780
642,78,8362
644,35,-1
648,25,65326
652,39,18635
653,33,70887
656,138,62322
661,44,93186
663,44,28282
667,60,68570
668,74,62332
669,49,-1
672,29,-1
673,10,-1
675,91,65816
676,72,35463
685,5,-1
688,76,71183
691,67,-1
694,170,47332
697,32,-1
700,40,-1
702,22,67080
703,56,-1
704,28,92489
708,282,38342
712,16,-1
717,158,62160
720,22,28278
721,63,62442
722,40,67819
725,18,65328
726,32,10756
730,95,64374
731,473,28224
732,108,79086
733,31,74031
735,7,80778
736,47,-1
737,76,68540
738,153,29148
739,47,-1
740,70,65169
741,9,-1
742,875,10273
743,10,-1
746,11,-1
748,30,-1
749,13,-1
752,34,-1
753,123,29931
754,36,-1
755,22,-1
758,22,-1
759,24,22111
760,23,87546
761,29,-1
762,46,-1
764,14,79453
765,22,-1
769,267,28297
770,40,-1
771,17,69108
772,68,-1
778,13,-1
779,66,63090
781,55,47317
783,36,63445
785,151,41502
786,17,-1
787,4,-1
788,7,62936
791,37,-1
793,11,-1
796,11,-1
800,27,-1
801,21,84223
802,121,65145
804,170,40683
805,15,45196
807,143,8842
808,86,50413
809,74,62406
810,44,65209
811,18,-1
813,225,30618
816,10,-1
820,39,68986
823,64,-1
825,107,28241
826,17,57082
827,36,-1
828,69,-1
829,38,65339
830,129,40832
831,46,63426
832,17,80782
835,33,-1
839,31,25280
840,11,-1
843,29,-1
844,9,-1
847,52,21881
849,16,66321
850,16,9856
851,16,-1
854,70,62518
855,39,-1
856,204,38517
857,14,-1
861,38,-1
862,8,-1
863,35,68962
865,208,40440
869,328,28929
870,12,-1
873,127,68411
875,111,37600
877,37,-1
881,23,-1
883,84,-1
885,116,22275
886,76,50297
887,70,50528
890,49,47851
892,34,-1
905,21,79438
908,9,-1
911,132,-1
912,53,67118
913,18,81216
914,31,65334
915,10,-1
917,20,-1
923,6,-1
924,67,-1
926,65,40836
927,77,48858
930,27,-1
934,38,65352
936,3,-1
937,35,-1
938,266,66456
939,19,80695
941,5,-1
942,58,60291
943,107,63413
945,128,65143
951,33,34386
956,105,76941
957,44,45325
958,18,46787
959,50,63109
960,90,41459
963,65,-1
964,37,61113
967,159,14286
968,3,13642
969,17,-1
970,34,21865
972,6,-1
973,19,-1
975,1624,28327
978,87,45728
979,111,65020
980,37,41631
983,6,34122
985,51,34124
988,53,68903
989,4,14609
993,20,90223
994,141,68971
995,9,40944
1004,31,80709
1006,66,-1
1009,31,81338
1010,12,-1
1011,13,79213
1013,54,-1
1015,10,-1
1016,151,69281
1017,40,-1
1018,20,-1
1031,16,21879
1033,167,69285
1036,56,-1
1037,8,16420
1039,73,-1
1040,13,63342
1044,35,-1
1047,101,17909
1048,82,43801
1049,48,81196
1050,66,38034
1052,49,67590
1054,18,35251
1055,5,103651
1057,40,68892
1058,13,66841
1061,13,-1
1064,3,-1
1068,6,-1
1069,13,-1
1070,37,-1
1071,454,36190
1073,64,-1
1074,24,-1
1075,16,62913
1077,122,65704
1079,10,-1
1080,49,28239
1081,18,47986
1084,10,68991
1087,6,-1
1094,4,-1
1095,24,67813
1096,28,-1
1097,67,68780
1098,57,-1
1100,5,-1
1101,29,-1
1105,3,-1
1106,17,-1
1108,52,-1
1109,61,80392
1111,31,-1
1114,60,68537
1116,2,-1
1124,20,-1
1126,23,-1
1129,6,-1
1130,14,56102
1132,4,-1
1133,8,-1
1134,27,72538
1135,20,-1
1136,62,-1
1137,31,-1
1139,225,66443
1140,44,80707
1143,360,79083
1147,64,92270
1149,63,99341
1150,55,65071
1151,50,-1
1154,23,41313
1155,28,-1
1156,40,64948
1157,53,-1
1158,35,-1
1159,38,-1
1160,63,-1
1161,25,-1
1166,88,80475
1167,13,-1
1168,9,21796
1169,20,-1
1171,26,47321
1174,6,66013
1175,51,-1
1177,26,-1
1178,18,-1
1180,36,-1
1183,63,68535
1184,16,62891
1185,56,55645
1186,8,-1
1187,58,47936
1190,14,-1
1191,42,66521
1198,104,-1
1201,57,-1
1202,26,79219
1205,32,62893
1209,16,-1
1211,60,67694
1212,13,23848
1213,132,64735
1214,17,-1
1217,60,41311
1218,11,66386
1220,2,65508
1221,2,-1
1224,104,24436
1225,15,-1
1227,42,-1
1230,28,-1
1231,108,49035
1232,34,-1
1233,32,80368
1234,23,71876
1235,140,32012
1239,28,25853
1240,6,66020
1242,22,40845
1243,117,68610
1244,3,-1
1246,28,44122
1253,11,-1
1254,6,-1
1257,19,92037
1258,45,-1
1259,5,27857
1260,81,-1
1262,7,27149
1264,18,-1
1266,6,-1
1267,5,-1
1269,6,-1
1270,8,-1
1272,75,-1
1277,8,-1
1278,31,-1
1279,9,-1
1282,10,-1
1284,120,65974
1285,42,-1
1287,5,-1
1289,16,-1
1290,13,67811
1291,5,-1
1292,5,-1
1293,69,63296
1294,5,63376
1295,29,103290
1297,10,29830
1299,61,81698
1302,60,-1
1303,6,-1
1304,28,-1
1305,45,79309
1306,6,-1
1307,11,-1
1308,16,30241
1309,38,30454
1310,25,-1
1313,2,-1
1319,15,80693
1321,9,65318
1322,38,38858
1323,36,-1
1324,58,-1
1325,155,32458
1327,5,65320
1328,19,-1
1329,4,-1
1334,9,38855
1336,23,-1
1338,150,65172
1339,9,-1
1343,7,37551
1344,32,34388
1345,38,35244
1347,18,-1
1356,45,38860
1361,3,-1
1362,77,35734
1364,40,38851
1368,3,80685
1371,35,-1
1372,4,-1
1373,65,-1
1374,103,37549
1375,17,54838
1380,6,-1
1381,32,-1
1382,2,38473
1384,4,-1
1386,4,52881
1388,9,49843
1390,11,-1
1392,11,-1
1395,75,68567
1396,3,40690
1397,54,-1
1398,21,40825
1402,33,51609
1403,21,-1
1404,67,-1
1405,35,-1
1406,3,-1
1412,4,-1
1414,30,44696
1415,22,-1
1420,17,-1
1421,15,-1
1423,4,65305
1424,7,44810
1425,2,44824
1428,16,45495
1429,17,-1
1431,6,-1
1433,22,46133
1435,54,46637
1436,2,46727
1437,1,46732
1438,19,-1
1439,45,-1
1444,6,47834
1449,4,65309
1451,12,-1
1453,33,49005
1454,92,69007
1455,24,-1
1457,26,49116
1458,22,-1
1460,10,-1
1462,5,77455
1463,24,68616
1466,1,49879
1468,6,-1
1469,4,50294
1471,11,-1
1473,7,86514
1475,20,-1
1477,4,-1
1479,24,-1
1480,10,51550
1482,27,51602
1483,1784,51952
1484,44,56647
1485,3,52549
1486,11,-1
1487,92,52547
1488,40,-1
1489,18,-1
1491,10,-1
1493,3,-1
1495,2,54602
1501,87,55972
1502,20,55697
1503,1,56028
1505,9,-1
1510,8,-1
1513,12,-1
1515,13,-1
1519,8,-1
1526,62,-1
1529,5,-1
1530,37,62155
1532,81,103049
1534,1,60287
1537,6,-1
1540,4,-1
1545,27,61120
1548,5,-1
1549,3,61586
1550,4,-1
1551,4,-1
1552,11,62978
1553,21,62980
1554,6,67698
1557,20,-1
1558,2,62701
1560,109,62343
1561,5,63421
1562,4,-1
1565,3,62934
1567,10,63265
1568,28,65535
1569,21,-1
1570,6,-1
1572,37,-1
1573,2,80671
1577,7,-1
