id,userid,date
73944,43464,1398382660
75397,45333,1399706447
52875,29992,1378802032
10684,5081,1314384208
69274,41439,1394093917
35855,1614,1358322468
49339,28269,1374316479
7148,3084,1302691563
30869,16516,1352030672
60056,35515,1385879399
57360,9405,1383800523
25125,13608,1346022815
45818,26283,1369915924
91575,41652,1409968190
82008,9162,1403018117
73879,41866,1398324084
69419,41272,1394201193
89309,53503,1407875786
51926,29536,1377595604
49557,28357,1374582220
45882,13420,1370009929
33691,603,1356068943
86360,22390,1405337661
83310,39582,1404191702
31264,8431,1352644716
86744,52280,1405630423
55968,31087,1381905854
51386,28500,1376899355
20360,4872,1337278479
59845,2164,1385560465
7000,2885,1302242445
20146,11270,1336816600
82874,36227,1403753063
50402,28780,1375612865
61832,805,1387884518
82380,48769,1403330634
48099,26226,1372922247
24665,13390,1345206437
52692,16101,1378548212
87220,52600,1406060435
72473,26640,1397047331
53758,30516,1379664879
82700,46134,1403623423
71307,42673,1395940982
2439,1480,1285937740
59475,7555,1385145820
81202,48044,1402321256
8749,4373,1308543943
60977,20793,1386783273
6783,1504,1301447141
42283,22334,1365591108
77417,45917,1400646417
84318,12492,1404288334
8301,159,1306816027
61436,36015,1387327704
24081,3136,1344321538
68349,40904,1393342767
34310,10997,1357558428
39206,19668,1362991193
61001,36088,1386818748
51739,609,1377334348
69325,41461,1394123493
15185,8616,1327077416
57507,6897,1383986312
53320,29746,1379343512
40200,10091,1364283036
37621,20845,1360836213
73331,35148,1397831499
30950,16506,1352141503
36320,20016,1359013764
62951,37210,1389500644
66219,36682,1391565671
88832,7141,1407417181
89346,53993,1407907999
25653,13912,1347006670
24494,4253,1344997796
67515,805,1392619144
45849,21060,1369970866
89693,54202,1408188654
60311,4147,1386135118
82803,27779,1403695772
13476,2166,1322404272
30104,14731,1350929393
83045,6355,1403898360
5065,2888,1295826686
35880,1614,1358344969
90843,43416,1409237286
90642,54776,1409110996
87463,52754,1406206050
23089,11253,1342509729
72939,42868,1397536730
69993,41888,1394727616
72088,40680,1396758574
82858,179,1403739976
54177,30652,1379980792
54409,30442,1380104513
63760,9699,1390377287
40122,21624,1364179357
41430,23666,1364529730
14524,1514,1325512818
11387,6413,1316687303
45868,26348,1369986167
28449,12377,1349857881
10598,5951,1314109794
60394,28864,1386210528
31306,16736,1352700819
82572,42813,1403525750
53134,16380,1379120418
60231,7344,1386055568
43049,24654,1366576734
35582,1007,1357983549
36695,20228,1359519577
37953,6050,1361311199
56091,9841,1382015357
30762,16469,1351852458
54577,30773,1380210698
55367,30911,1381192193
74810,44951,1399199707
70684,42311,1395357421
49900,28466,1374907953
56136,31654,1382067334
73878,44397,1398323174
36101,18613,1358698610
66511,39707,1391778658
86131,805,1405054365
84838,49726,1404808178
66377,39579,1391689321
87630,40252,1406372077
13626,7688,1322751930
64720,2970,1391128206
71822,43008,1396477914
83859,9013,1404288334
89492,54082,1408003514
57452,16663,1383908220
49558,26743,1374582822
32275,17106,1354083753
64694,38206,1391092651
87013,25063,1405912725
28197,1513,1349523893
83490,778,1404288334
69405,41517,1394194253
1495,862,1281814354
55366,24144,1381190084
46526,26680,1370886036
52973,26496,1378909032
83259,1739,1404155135
49634,21945,1374646944
84314,6096,1404288334
71114,41536,1395783504
69608,24841,1394420433
49092,26451,1374088980
42942,8120,1366360645
72319,43126,1396934645
78085,46312,1401258768
56400,4903,1382432455
39635,22156,1363578797
63268,37376,1389808076
33518,17108,1355827082
49221,28218,1374220001
25926,14031,1347524299
