id,posthistorytypeid,postid,creationdate,userid
131476,5,41615,1351761165,5659
180369,2,56892,1366638729,17140
380741,4,113692,1409288018,54915
203025,5,62852,1372417402,22047
372151,3,111230,1407495513,53728
150121,1,47536,1357909833,16880
346355,2,103471,1402826066,41167
148001,2,46984,1357292988,18340
56341,3,18732,1321875229,7515
258450,5,77528,1385362033,31334
384092,3,114573,1410028895,55350
14192,1,5603,1292577850,446
158553,5,49889,1360699237,7290
275451,2,82336,1389760483,37341
273145,2,81721,1389252897,2261
327141,24,95898,1399575221,-2
214040,1,65506,1374683991,28440
147315,25,46785,1357005765,-2
220860,2,67163,1376290719,28923
245211,5,73379,1382341756,22047
55861,3,18581,1321594373,1158
215242,4,65776,1374960140,3277
192248,6,60190,1369700057,6029
231048,2,69655,1378786540,14556
161066,5,50552,1361467754,9394
225831,3,68475,1377598021,29596
340598,2,101185,1401879926,32036
131629,5,41665,1351818640,3382
260060,1,78070,1385708719,11030
341250,4,101358,1401980165,7290
111949,25,34678,1345553961,-2
191280,2,59963,1369388957,26080
260591,25,78042,1385884700,-2
147174,3,46754,1356919499,1291
184781,25,58183,1367744381,-2
347033,2,103661,1402968864,48493
125674,1,39306,1350034097,14892
286400,2,86016,1391970279,35917
186458,4,58568,1368166335,88
208548,6,64150,1373608726,27403
665,1,312,1279609420,-2
359419,1,107541,1405008122,7616
121131,4,37993,1348588698,7290
275340,24,82305,1389730457,-2
323585,4,95939,1398928761,7290
277401,1,82847,1390210982,37566
105298,2,33062,1343254795,858
89750,2,28707,1337294721,10908
32590,1,11583,1307223134,4290
290601,5,8579,1392780493,17230
315982,1,93777,1397480936,20148
95760,5,30471,1339669695,2970
252978,2,76183,1384113962,31334
307337,5,91177,1395826357,25936
329064,6,97490,1399957528,7290
234611,33,6497,1379667748,919
221412,5,67324,1376397237,28746
100744,25,31828,1341617669,-2
258597,3,77663,1385381558,29137
386367,5,115253,1410501003,55684
336696,5,100335,1401268021,603
382898,1,114264,1409759684,45568
120693,2,37880,1348424260,4127
12547,2,4954,1290809493,2157
250133,2,74681,1383658965,32304
222804,6,55797,1376834188,22468
285245,5,85366,1391716021,805
241316,1,72349,1381297428,31278
201145,5,62414,1371976416,21054
132110,5,41846,1352002357,12361
351424,2,104886,1403769311,5739
154759,5,48683,1359474198,17230
319838,3,94875,1398235821,35736
234363,3,70533,1379592428,18268
57231,5,19000,1322316502,449
116695,5,36028,1347265144,2126
291661,2,87385,1392933159,31304
133674,2,42996,1352200888,8013
289666,3,86889,1392628493,10339
119168,5,36340,1347878867,11032
380710,5,113684,1409283348,20921
216784,3,66199,1375294556,4274
259752,5,77979,1385630481,9394
382494,3,114152,1409699549,230
183915,2,57935,1367484195,22047
235270,2,70755,1379897141,29943
159996,2,50284,1361211853,21010
285985,2,85904,1391864713,38480
280691,1,83732,1390969324,30356
128903,3,40950,1350876322,11446
295322,3,88312,1393584587,28524
146097,4,46486,1356274526,88
64368,2,21116,1326612079,449
168152,5,52045,1363604194,12548
370408,2,110700,1407212037,53440
293640,5,87874,1393339920,40899
109898,5,34300,1344929836,7290
270353,2,80959,1388504711,5339
381300,5,113824,1409409983,19666
98810,1,31309,1340882522,12283
90542,25,28905,1337645692,-2
359775,5,107640,1405078317,21054
94892,10,30236,1339388204,919
339133,5,31406,1401610690,7290
286491,2,86050,1391998590,13267
266942,5,79949,1387319233,36343
270645,1,81047,1388647119,9125
290871,5,87092,1392815861,805
307288,1,91455,1395820294,36465
213595,4,65381,1374626412,6029
184190,5,58022,1367560845,6029
231133,5,69671,1378796288,7290
131906,24,41563,1351911966,-2
351078,2,104788,1403706362,48683
364635,2,109027,1406094859,52208
266166,1,79762,1387121612,34962
106272,2,33332,1343608594,6624
172248,6,53323,1364444624,930
42349,5,14500,1313702885,183
103159,5,32434,1342528084,11032
143869,5,45897,1355452404,16811
322583,2,95667,1398760149,44269
205305,3,63370,1372945518,8971
208030,2,64058,1373532062,919
6651,6,1253,1284726711,88
162443,2,50967,1361957120,11852
293786,2,87914,1393365815,40918
302581,5,86175,1394986865,32036
274870,2,82196,1389628656,37288
235548,3,70838,1379941719,12307
330492,3,97913,1400156004,28835
379261,1,113249,1409009573,30834
195487,5,61054,1370502345,26080
129179,2,41021,1350969013,16176
213419,5,65335,1374586155,14860
217867,5,66046,1375548083,21521
298543,1,89199,1394188252,41513
380091,3,113502,1409126916,-2
107073,5,33558,1343894894,12710
179786,5,56701,1366468040,22468
109939,4,34309,1344938281,3826
339125,2,100764,1401607904,1764
154310,4,48688,1359357706,686
253951,5,76441,1384315713,22047
324808,2,96301,1399154591,44927
143320,3,45749,1355251414,-2
74839,3,24339,1331207935,9699
385807,2,115098,1410406868,55557
25029,4,9217,1302040892,183
319197,2,94687,1398140764,44258
244377,4,73167,1382093502,20513
202145,1,62646,1372231915,27327
289590,3,86863,1392618144,29825
217246,4,65846,1375396648,13902
352657,3,105218,1400559854,7417
272001,13,81411,1389002784,919
301557,6,89907,1394758264,40115
5201,3,2244,1283252169,1088
211200,1,64767,1374152783,28191
329219,1,97555,1399976917,40917
314102,2,93274,1397086913,5429
232964,5,67837,1379313512,22047
304679,2,90788,1395327301,24080
265074,5,79437,1386817969,805
215452,10,65723,1375019895,919
314918,10,93488,1397222961,686
238281,6,71554,1380593707,686
