id,creationdate,postid,relatedpostid,linktypeid
2971799,1396937236,87082,29580,1
2684257,1381623176,72648,69889,3
2866814,1392039461,86114,83512,1
2613529,1377603096,68483,3038,1
2844971,1390982437,63081,10676,1
2731663,1384317939,76444,15711,1
3324290,1409222132,113594,12900,1
2866932,1392045651,86094,55980,1
3019430,1398954454,95965,18112,1
282331,1296811347,6876,6807,1
2714540,1383432648,74448,15664,1
3066319,1401087042,100041,11707,1
95486,1287738293,3814,499,1
2025379,1356919756,46644,46755,1
2832496,1390298468,16665,74174,1
2137245,1358435636,47989,20826,1
3282868,1407937842,111463,108175,1
1434363,1328126321,22066,20002,1
3317278,1408871076,89982,60074,1
3338213,1409935701,114481,113759,1
2881394,1392797587,87168,16312,1
3234318,1406051797,108837,31459,1
2998833,1398019268,94496,21346,1
2961374,1396494757,92374,2492,1
2742395,1384960114,77188,35175,1
2407415,1364812028,54821,46719,1
2194149,1359394080,48739,48688,1
2462156,1368381817,58791,12261,1
388020,1300481303,8470,4220,1
2833783,1390374150,83019,3539,1
2643952,1379416371,70266,7969,1
3003559,1398104787,94622,91872,1
2616220,1377757927,68634,13630,1
2544843,1373500153,63986,2492,1
2867939,1392106227,86220,37587,1
2674375,1381119470,71898,36015,1
2454421,1367990847,58421,32600,1
2634223,1378815007,32169,13382,1
2565969,1374721813,65548,65388,1
3163466,1404184529,105384,105387,1
2830313,1390157057,82786,46856,1
3311553,1408585591,5935,50770,1
3127544,1402562170,103150,298,1
2840109,1390755218,77812,31326,1
2620760,1378060920,68931,15978,1
2362327,1363072997,51985,27724,1
3147737,1403456472,102892,104194,1
2633334,1378772902,69386,11210,1
2655688,1380099348,70899,65692,1
3178030,1404747370,106070,46523,1
2480239,1369356576,59910,9751,1
2457021,1368101356,58525,13086,1
2258385,1361127797,20040,12386,3
2523254,1372165862,62545,55805,1
3252274,1406801704,110173,78839,1
2395785,1364190394,53227,213,1
3124193,1402436391,102900,2516,3
2909203,1394096461,88960,25415,1
2838501,1390654929,57286,76815,1
2763308,1386210773,78633,18480,1
2544065,1373452021,63924,298,1
2633747,1378793206,69646,22718,1
2034704,1357040719,46806,20438,1
2585714,1375874030,66764,60410,1
1798896,1347537184,1645,12262,1
3099654,1401911115,101084,61080,3
3059227,1400738111,99686,23778,1
1457493,1329570663,23090,17186,1
3126200,1402517774,103073,10,1
1973529,1355156098,45559,13686,1
1635802,1339439046,16985,26300,1
