id,postid,score,creationdate,userid
216732,112191,0,1408891929,805
203241,105038,0,1404010800,48073
171047,87562,0,1393159777,6633
91065,46896,0,1357204694,9253
207695,107980,0,1405394889,52102
127159,65831,0,1375009534,20396
215940,112710,0,1408554766,919
105637,54655,0,1364546625,686
90714,46691,1,1356778177,686
142255,73181,0,1382095486,3277
217196,95042,0,1409059476,46638
6468,4257,0,1289284976,1763
64398,32678,0,1342806001,12738
207431,105960,0,1405273708,41450
85205,43618,0,1353080507,16228
16411,8391,0,1303051529,26
177870,90575,0,1395382456,36661
132757,66918,1,1377762966,25
69820,34667,0,1345706421,5739
145347,74522,0,1383528446,32279
103296,52698,0,1363801073,21918
160263,81747,0,1389269188,31420
121794,63321,2,1372901772,805
119066,62097,0,1371621197,27058
219721,114515,0,1409999866,919
95953,49530,0,1360311679,8013
108883,56463,0,1366275879,20884
9714,6248,0,1295060688,930
29867,16627,0,1317907841,919
133107,68788,0,1377979838,29617
125954,65235,0,1374548131,21417
37517,20750,0,1325995682,6725
105578,54590,1,1364520761,9253
207855,108060,0,1405427364,45745
62799,31774,0,1341990122,12339
217812,113657,0,1409251696,9007
140636,55830,0,1381386465,30351
171835,87986,0,1393402262,20381
172361,88208,0,1393515679,805
176045,89943,0,1394721473,2798
178707,91267,0,1395725424,22047
153279,78264,0,1385932831,27102
217506,113503,0,1409141127,2126
89838,46207,0,1355899150,2817
155343,79208,0,1386659859,22047
157661,80458,0,1387843779,3277
38461,21007,2,1326836542,3919
192041,99082,0,1400336706,3382
115422,60231,0,1369721503,22047
162222,82734,0,1390118735,686
99316,50771,0,1361719598,7290
48090,26148,0,1333991703,2970
190682,97577,0,1400177915,7071
185088,94850,1,1398227570,22047
27941,15475,0,1315947894,6277
66893,33710,0,1344210061,2392
68428,34345,0,1345014474,253
108711,56416,0,1366209073,11091
220224,114787,2,1410211970,36229
141097,72630,0,1381577330,2116
172427,88231,0,1393536878,8451
9304,6071,0,1294399893,1934
166851,85498,0,1391608132,31420
116717,60848,1,1370327931,22047
134006,69346,0,1378435787,805
177616,90705,4,1395304501,4253
105436,54498,1,1364399200,17072
219613,114011,0,1409925855,52554
178652,91241,0,1395687845,805
193938,99502,0,1401169002,45906
42949,23636,0,1330091036,7290
58589,30414,0,1339665246,11704
146276,74975,0,1383894063,28746
92780,47570,0,1358235178,18603
201109,104000,0,1403186808,38241
193330,34551,1,1400814272,12410
7826,5201,0,1291725051,2040
