id,reputation,creationdate,views,upvotes,downvotes
39728,135,1391823264,2,4,0
35600,11,1386015458,0,0,0
30173,101,1378881642,0,0,0
55037,1,1409557015,0,0,0
41637,101,1394421389,0,0,0
53085,1,1406684732,0,0,0
8103,1,1324297243,0,0,0
54798,101,1409125693,0,0,0
40028,101,1392098459,0,5,0
34612,28,1384086614,7,0,0
8892,101,1328081406,6,8,0
11290,78,1336882589,48,2,0
35887,1,1386521794,0,0,0
2330,101,1291971545,0,3,0
54427,1,1408538305,0,0,0
28213,1,1374214091,2,0,0
44125,1,1397956502,0,0,0
27748,101,1373248027,0,0,0
54170,1,1408113305,0,0,0
41885,11,1394720467,5,0,0
22187,1,1363611783,0,0,0
55185,6,1409737450,0,0,0
46220,101,1401150828,0,0,0
21434,1,1362116751,0,0,0
31303,1,1381328016,1,0,0
18238,1,1357063764,0,0,0
24962,101,1367091865,2,2,0
55249,1,1409814941,0,0,0
35194,1,1385133471,1,0,0
52682,101,1406145218,0,0,0
14577,11,1349183235,2,0,0
37447,6,1389929425,0,0,0
27127,18,1371730234,2,1,0
35156,1,1385058452,0,0,0
36031,101,1386736692,0,6,0
52425,1,1405857483,0,0,0
29103,1,1376376826,1,0,0
27943,101,1373592071,0,0,0
49545,40,1404514041,4,0,0
27880,1,1373468731,0,0,0
37782,101,1390521725,0,0,0
29486,1,1377253620,4,0,0
48743,1,1403259912,0,0,0
18014,11,1356032642,0,0,0
43965,36,1397711689,6,0,0
11695,1,1338518546,0,0,0
17737,9,1355255640,0,0,0
53130,1,1406720452,0,0,0
26534,1,1370413388,0,0,0
36128,6,1386874673,0,0,0
54103,16,1408016577,1,0,0
29003,101,1376092438,0,0,0
26085,1,1369399124,0,0,0
16721,6,1352620648,18,0,0
35088,101,1384957144,0,5,0
36447,23,1387462634,3,0,0
35528,101,1385850290,0,0,0
35573,11,1385972843,0,0,0
29068,517,1376298969,89,105,4
44349,1,1398252912,0,0,0
17600,26,1354896816,4,1,0
39596,6,1391617250,1,0,0
17457,1,1354580951,0,0,0
31214,1,1381186770,0,0,0
36078,3,1386798237,0,0,0
29755,101,1377927924,2,0,0
31659,3,1382073331,2,0,0
53868,6,1407750206,1,0,0
37122,1,1389327161,0,0,0
49471,28,1404389844,0,1,0
52623,1,1406077827,3,0,0
54573,1,1408781087,0,0,0
53540,1,1407302087,0,0,0
52898,28,1406447057,4,3,0
46414,1,1401376872,0,0,0
54569,31,1408775544,0,0,0
36438,6,1387452066,0,0,0
26057,106,1369342951,3,1,0
35120,1,1385021090,3,0,0
46053,1,1400806442,0,0,0
12857,166,1343226975,39,0,0
44955,1,1399197385,1,0,0
23727,1,1364660273,0,0,0
55436,1,1410176817,0,0,0
17590,192,1354875515,34,31,0
3753,101,1300298717,51,4,0
26084,1,1369397703,1,0,0
14546,307,1349115184,195,0,0
17935,193,1355799367,24,8,0
48638,13,1403139398,0,0,0
37936,101,1390685981,0,1,0
24756,1,1366756114,0,0,0
55266,101,1409834529,0,2,0
20016,79,1358978872,17,29,0
20811,11,1360750102,2,0,0
12957,101,1343600651,0,0,0
7025,363,1319438214,49,16,0
7999,48,1323819961,6,1,0
23620,1,1364434006,0,0,0
53214,56,1406817440,2,0,0
45973,106,1400697811,0,2,0
25202,1,1367557343,0,0,0
45098,101,1399384848,2,0,0
28776,6,1375522181,0,0,0
31828,21,1382495091,1,4,0
23855,133,1364963593,3,2,0
25045,3,1367273700,2,0,0
17865,127,1355586907,5,0,0
48937,1,1403607990,2,0,0
41175,11,1393675458,0,0,0
24566,184,1366371103,12,3,0
42800,1,1396203574,1,0,0
2734,130,1294743227,7,1,0
29054,1,1376272799,0,0,0
48530,1,1403000376,0,0,0
48687,101,1403180667,2,0,0
11559,121,1337983589,4,6,0
25802,101,1368818825,1,0,0
24543,231,1366341261,8,2,0
44008,1,1397751394,0,0,0
45591,6,1400116831,3,0,0
40716,9,1393039721,2,0,0
21736,11,1362736203,1,0,0
48461,1,1402915074,0,0,0
44159,1,1398019030,0,0,0
13258,76,1344834072,6,0,0
36506,1,1387668318,0,0,0
35329,23,1385415780,0,0,0
46169,6,1401062266,5,0,0
46302,11,1401243194,3,0,0
13353,1,1345099329,0,0,0
51841,1,1404945784,0,0,0
16761,1,1352702280,1,0,0
35560,1,1385958087,1,0,0
46607,1,1401729107,0,0,0
38299,11,1391157045,0,0,0
17782,6,1355319537,0,0,0
55560,101,1410349260,0,0,0
5585,101,1311843979,1,0,0
24811,111,1366842561,2,1,0
31307,16,1381333948,0,1,0
21279,38,1361842517,2,0,0
18100,101,1356426159,1,2,0
49461,101,1404384252,0,0,0
27776,1,1373289236,1,0,0
18647,26,1358113376,0,0,0
45783,3,1400466979,0,0,0
1840,101,1288967703,2,0,0
42718,1,1396007983,0,0,0
22410,1,1363972797,3,0,0
20461,1,1359986494,3,0,0
17276,1,1354086164,0,0,0
13267,308,1344852247,13,40,0
31909,11,1382669734,5,0,0
40313,101,1392436611,0,3,0
16434,13,1351731669,1,0,0
43232,16,1396818352,1,0,0
42241,1,1395279250,0,0,0
41890,6,1394727745,2,0,0
11787,101,1338925742,0,0,0
55048,6,1409567739,0,0,0
29712,6,1377831342,6,0,0
35956,118,1386640088,0,4,0
52560,1,1406016470,0,0,0
41289,1,1393899576,0,0,0
34707,6,1384243202,1,0,0
35815,1,1386408308,0,0,0
18574,101,1357882483,1,0,0
35274,33,1385325240,1,0,0
4340,119,1303820147,16,0,0
45440,101,1399887335,0,0,0
54639,1,1408914825,1,0,0
28088,1,1373945836,0,0,0
20211,140,1359407909,26,10,0
7314,21,1320905550,4,0,0
36570,1,1387910907,0,0,0
55168,1,1409726484,0,0,0
23996,1,1365241044,1,0,0
19961,101,1358896713,0,0,0
52729,1,1406188770,0,0,0
44443,1,1398343451,0,0,0
27490,108,1372593247,1,0,0
43960,1,1397698744,0,0,0
30900,16,1380568653,2,0,0
46257,1,1401185378,0,0,0
36338,1,1387274369,0,0,0
20082,6,1359105009,0,0,0
32171,101,1383263588,0,2,0
29770,346,1377987093,13,1,0
28452,1,1374720625,0,0,0
19924,101,1358841863,0,0,0
39760,16,1391893979,0,0,0
21060,3,1361337857,1,0,0
30118,1,1378778578,1,0,0
39830,101,1391999857,0,3,0
21826,6,1362928329,1,0,0
9539,1,1330578936,0,0,0
23730,1,1364690205,0,0,0
29742,36,1377880274,14,4,0
12184,101,1340524664,0,3,0
48103,1,1402380456,3,0,0
6984,1,1319188691,2,0,0
42609,436,1395845017,4,1,1
40207,101,1392284616,0,3,0
40103,101,1392172831,0,0,0
10606,8,1334405877,4,0,0
53560,1,1407308558,0,0,0
10591,122,1334308259,10,11,0
37613,133,1390289419,1,2,0
55336,6,1409988468,0,0,0
44492,6,1398428639,0,0,0
55659,1,1410463534,0,0,0
52950,1,1406525589,0,0,0
45173,16,1399490440,0,0,0
26526,1,1370401812,0,0,0
39782,1,1391941027,1,0,0
49679,1,1404756602,0,0,0
29108,1,1376380495,0,0,0
20406,46,1359818374,1,0,0
10836,19,1335225814,3,0,0
52233,101,1405534307,0,4,0
13934,106,1347085796,0,0,0
51944,1,1405080343,0,0,0
52889,1,1406435649,0,0,0
20179,30,1359334774,3,1,0
27484,1,1372580866,0,0,0
25869,101,1369015724,0,0,0
45112,101,1399433856,0,0,0
26428,116,1370208505,0,0,0
12305,126,1340960027,10,2,0
27784,6,1373303107,0,0,0
24196,101,1365636376,1,2,0
52702,6,1406168893,0,0,0
45823,126,1400504314,22,1,0
53585,1,1407329069,0,0,0
20371,111,1359713998,1,0,0
21361,238,1361992620,12,15,0
40569,6,1392810577,0,0,0
45719,1,1400316476,0,0,0
2838,214,1295414184,11,9,0
41800,23,1394612188,4,1,0
25975,113,1369203191,2,1,0
16776,130,1352717701,18,6,0
37037,1,1389171227,3,0,0
7449,23,1321600790,3,0,0
10522,6,1334112241,1,0,0
54926,1,1409298807,0,0,0
24125,1,1365515016,0,0,0
20712,101,1360512056,0,0,0
52439,1,1405887452,0,0,0
20981,163,1361169165,11,7,0
36065,1,1386775668,0,0,0
38146,101,1390950369,0,4,0
40980,1,1393438539,0,0,0
52527,11,1405998043,0,0,0
41098,6,1393564927,0,0,0
23632,8,1364448353,0,0,0
37619,11,1390294991,0,0,0
16471,1,1351843445,0,0,0
