id,postid,score,creationdate,userid
76721,38898,0,1349660950,10069
24977,14160,2,1313049717,1909
77376,39203,0,1349938412,7290
126273,65363,2,1374638129,4253
156206,79646,0,1387003151,26276
28249,15666,0,1316261580,6345
134465,69510,0,1378696112,27462
6440,4319,0,1289248236,196
89728,45931,0,1355822738,919
65160,32872,0,1343187932,12106
132406,68404,0,1377615612,26553
177913,90906,1,1395394649,31135
102750,52636,0,1363616489,7290
5728,560,1,1288075571,461
96082,49664,0,1360449759,20492
110544,54973,0,1367132424,21072
100678,51429,1,1362535309,930
174533,88927,0,1394249630,3277
185656,95190,2,1398410186,43924
80658,41395,1,1351456873,7290
149939,76702,1,1384537230,8013
121928,63302,1,1372954777,805
85317,43860,0,1353200227,7828
124779,64636,0,1374064090,2040
103240,52857,0,1363783394,13047
38846,21531,0,1327249708,8627
39916,21926,1,1328073281,930
203512,105313,0,1404127165,49277
121548,63211,0,1372820393,25936
210717,109732,0,1406548041,46522
171597,87864,0,1393338211,919
210844,109785,0,1406575228,8200
114821,59790,0,1369319472,805
85245,43828,1,1353136295,4253
128308,66465,4,1375536624,6029
153186,78149,1,1385903019,805
122384,63607,0,1373237349,805
93,150,0,1279554857,74
179296,91537,5,1395891143,28666
143617,73793,0,1382706381,31323
172111,88116,0,1393477075,28183
133863,69266,0,1378376292,601
112267,58485,0,1368010421,22100
17124,9988,0,1303882916,183
203621,105274,0,1404180465,48763
19564,11319,0,1306552319,4679
157833,72196,0,1387978684,31187
90810,46760,1,1356932493,7290
40918,22558,1,1328816803,2970
176339,90065,0,1394842941,1352
136343,70410,0,1379501090,26594
110044,57097,0,1366871694,12786
139447,71825,0,1380848102,31026
207617,107941,2,1405345993,44269
37478,20669,0,1325939044,930
180024,91964,3,1396224763,22047
128514,65877,1,1375682808,27556
165139,84165,1,1391353589,919
67770,30103,0,1339169082,11032
135649,69822,0,1379271521,3331
199788,103292,0,1402648951,196
157313,80271,0,1387551188,36482
69638,34852,1,1345625205,919
136519,70344,1,1379556630,805
75383,38261,0,1348905114,13022
185911,95106,0,1398534413,3277
53763,28459,0,1337187771,7972
23812,13629,0,1312002744,5392
36561,20271,0,1324962051,2970
76348,38719,0,1349406993,14674
172288,88185,0,1393508378,24515
70648,35261,0,1346163364,9174
42030,23117,3,1329654345,776
3801,2984,0,1285170858,1134
87868,45071,0,1354790773,17452
11174,6975,0,1297155226,2635
65782,33212,0,1343390897,919
191836,98956,0,1400272936,42668
94059,1153,0,1359015844,1434
72520,36061,0,1347285565,11887
149838,76656,0,1384502295,919
66133,33354,0,1343666909,11623
137160,70762,0,1379902705,686
152823,78081,0,1385722643,8402
14339,8512,0,1300672998,2116
150246,76856,0,1379371826,29176
139485,71783,1,1380863984,27435
84126,43109,0,1352378976,13636
133777,69264,0,1378336675,29929
42709,23542,0,1329974995,686
99543,50840,1,1361855904,4253
101626,51996,0,1363074078,19699
170303,87262,0,1392881119,919
69839,34956,2,1345711134,2970
168309,86292,1,1392151027,805
61677,27512,0,1341419511,9007
62713,32053,0,1341943809,8783
196473,100500,0,1401792778,46384
60772,31266,0,1340877930,9394
69848,34957,0,1345713861,13351
65405,33050,2,1343259830,7224
199393,102964,0,1402532516,805
188507,96736,0,1399444713,686
59559,30835,1,1340207804,2970
103596,53012,0,1363943781,22356
176787,90300,1,1395047486,4598
8644,5691,1,1292988685,930
67189,33863,0,1344332198,13139
33174,18397,0,1321328472,1390
127913,66249,0,1375341262,22047
186762,95590,0,1398842369,26338
82614,41912,0,1352091428,16175
210663,109624,0,1406539087,919
92891,47828,0,1358281412,8373
151616,77468,0,1385264164,23733
194336,100399,0,1401284735,919
119853,62489,0,1372077357,21054
125182,13407,0,1374198746,704
74588,37923,0,1348547615,14350
18869,7878,0,1305717619,3535
55338,29212,0,1338027001,4856
158699,80978,1,1388557049,6725
145323,74510,0,1383509240,805
167520,85843,0,1391828947,686
190476,97809,0,1400114662,17672
203472,105241,1,1404116320,44269
217269,113386,0,1409098820,53740
131343,68007,0,1377082134,12492
103459,52827,0,1363875160,8402
98880,50531,0,1361441482,919
123394,64031,1,1373525145,919
189369,97260,0,1399783882,39741
19066,11046,0,1305892763,3301
78706,39335,0,1350134071,919
129408,67018,0,1376145689,2129
66690,33625,0,1343987528,11032
84570,43392,0,1352696700,4598
19049,11009,1,1305881181,2310
61926,31771,5,1341553298,2970
70651,35261,0,1346164584,9174
84536,43058,0,1352678253,13348
74872,38065,0,1348669197,14404
149144,76391,0,1384168410,2003
179038,91432,0,1395811885,582
152844,77998,0,1385728733,31104
204280,105682,0,1404376023,7290
70643,35280,0,1346160884,12607
187912,28878,0,1399262290,562
8837,5812,0,1293628149,88
140420,72320,0,1381284122,686
115615,60324,0,1369790499,805
202231,104619,0,1403635598,805
7491,5003,0,1291034808,196
199850,103336,1,1402670059,805
156257,79351,0,1387030772,34658
160640,81104,2,1389419668,23853
100578,51394,0,1362480570,6857
214126,92383,0,1407857557,48880
118584,61626,0,1371333634,805
149223,76407,2,1384305266,22047
179909,91905,0,1396184382,7290
79421,40574,0,1350609346,13526
208747,108321,0,1405850962,36229
20696,8321,0,1308147056,88
168218,86015,0,1392118895,12615
50491,27248,1,1335508806,279
72392,35945,0,1347262053,5739
107602,55765,0,1365621157,4253
109621,56935,0,1366695929,24706
167078,85629,0,1391670515,22047
85223,43815,4,1353114558,14729
203415,105255,0,1404103476,4253
42429,23282,0,1329892678,4701
125463,64869,0,1374298884,3277
91312,47022,1,1357369785,8165
115908,8141,0,1369902315,7255
64071,32607,0,1342671588,8507
68846,34542,0,1345209591,930
130407,67553,0,1376617536,25936
90992,46853,0,1357138550,1764
198537,102644,0,1402285157,36575
154008,78563,3,1386150025,1390
209246,100543,1,1406017683,52563
202296,21669,0,1403660698,27854
141976,73064,0,1381990584,31606
45296,24708,0,1332066182,7290
102479,52293,2,1363506200,919
116872,32463,0,1342529414,4505
88700,45763,0,1355306321,17096
164998,84115,0,1391288919,919
23386,13414,1,1311425270,582
132522,67582,0,1377669472,6389
154965,58860,0,1386520286,562
73105,36273,0,1347609065,11032
204600,105865,0,1404526617,805
155485,79272,0,1386697637,31774
45498,24763,0,1332232197,9900
121498,63177,2,1372779837,805
189365,69983,0,1399781116,10619
184954,94749,0,1398166252,22047
70046,35029,0,1345806079,7290
141433,72763,0,1381757882,919
25977,6820,1,1313905746,5862
122517,63663,0,1373280333,18164
162822,82928,1,1390400232,2392
74940,38087,1,1348711714,686
175396,89639,1,1394557245,14741
153911,78351,0,1386125325,22047
152162,77701,0,1385466188,30351
207488,107858,0,1405311111,6793
