id,posttypeid,creationdate,score,viewcount,owneruserid,answercount,commentcount,favoritecount,lasteditoruserid
38735,2,1349422236,3,-1,4598,-1,0,-1,-2
31885,1,1341710957,2,356,7251,0,0,1,6961
82159,1,1389611016,1,98,20650,2,2,-1,20650
4054,2,1288268311,1,-1,-2,-1,3,-1,-2
77049,2,1384865858,1,-1,22311,-1,3,-1,22311
70615,2,1379682959,2,-1,30395,-1,4,-1,-2
62874,2,1372432266,6,-1,6029,-1,0,-1,6029
67554,2,1376616031,0,-1,29187,-1,0,-1,-2
31126,1,1340683755,3,3646,12207,3,1,-1,5739
8169,1,1299842965,1,337,3681,1,4,2,88
106284,2,1404852018,4,-1,805,-1,2,-1,805
52419,2,1363409421,1,-1,4598,-1,0,-1,-2
73566,1,1382502884,0,55,31833,1,2,-1,8413
95517,1,1398667744,1,38,44424,1,4,-1,44424
57059,2,1366775606,1,-1,183,-1,3,-1,-2
95450,2,1398617259,0,-1,43228,-1,7,-1,43228
61982,2,1371486418,5,-1,805,-1,2,-1,-2
9165,1,1301902196,5,170,3429,2,4,2,-2
63470,2,1373017257,13,-1,26743,-1,1,-1,930
62568,2,1372146354,1,-1,22311,-1,7,-1,-2
50718,2,1361630737,0,-1,805,-1,6,-1,805
99374,2,1400557339,0,-1,24669,-1,0,-1,-2
76462,1,1384327802,0,24,26705,0,1,-1,-2
27897,2,1336294311,2,-1,601,-1,5,-1,601
14191,2,1313138420,1,-1,5799,-1,0,-1,-2
36137,1,1347372582,1,572,2040,1,0,-1,88
66116,2,1375240809,2,-1,22047,-1,2,-1,22047
96138,2,1399024165,1,-1,40731,-1,0,-1,-2
5897,2,1293966882,2,-1,1028,-1,1,-1,-2
101055,2,1401801202,3,-1,4505,-1,3,-1,-2
103004,1,1402468670,4,29,600,0,6,-1,-2
34399,2,1345034709,5,-1,4862,-1,3,-1,4862
95300,1,1398494293,0,52,37253,1,0,-1,-2
88077,2,1393442805,2,-1,28746,-1,0,-1,28746
87648,1,1393213951,0,34,30016,0,0,-1,-2
96797,1,1399453265,0,13,1005,0,0,-1,-2
44777,2,1354261156,2,-1,8580,-1,0,-1,-2
91321,2,1395744594,1,-1,35026,-1,0,-1,-2
99273,2,1400481375,1,-1,44965,-1,0,-1,-2
66100,2,1375233183,4,-1,22047,-1,2,-1,22047
82707,1,1390071664,0,237,37057,0,4,-1,930
32716,1,1342787268,0,318,12757,3,3,-1,7290
13736,1,1312212485,2,666,5636,2,0,-1,183
99835,1,1400828256,3,157,46069,1,2,-1,7290
60458,1,1369905541,1,56,26105,1,0,-1,-2
20536,2,1325567220,1,-1,4253,-1,0,-1,-2
40678,2,1350263013,1,-1,-2,-1,3,-1,-2
45887,2,1355419219,1,-1,15964,-1,0,-1,-2
95501,2,1398662701,0,-1,31261,-1,0,-1,-2
66197,2,1375287907,8,-1,805,-1,4,-1,805
40708,2,1350580234,1,-1,13950,-1,0,-1,13950
9746,2,1303198645,4,-1,781,-1,5,-1,-2
76095,2,1384030294,5,-1,12359,-1,0,-1,-2
