id,count,excerptpostid
1234,23,71876
979,111,65020
1329,4,-1
1384,4,-1
565,119,28268
320,32,-1
730,95,64374
1436,2,46727
740,70,65169
1064,3,-1
41,7244,2331
203,8,66382
75,117,62398
437,12,-1
694,170,47332
1321,9,65318
1602,2,80667
785,151,41502
1554,6,67698
1779,4,-1
1458,22,-1
1220,2,65508
270,16,-1
640,131,99598
956,105,76941
1594,7,-1
1218,11,66386
905,21,79438
188,2081,20256
1750,1,-1
915,10,-1
938,266,66456
1724,20,86507
945,128,65143
1825,1,-1
746,11,-1
1240,6,66020
373,70,-1
809,74,62406
1713,4,82619
1009,31,81338
703,56,-1
1665,3,-1
1597,36,66452
38,2000,3019
135,1362,20260
951,33,34386
1841,1,-1
124,98,79731
429,139,65141
1529,5,-1
1374,103,37549
559,60,62688
849,16,66321
885,116,22275
1451,12,-1
455,111,-1
303,73,62078
362,175,69060
219,614,28325
1572,37,-1
1109,61,80392
328,101,28305
387,3,65823
1246,28,44122
1004,31,80709
1748,9,-1
1519,8,-1
1420,17,-1
1766,6,-1
334,32,46725
574,30,-1
1471,11,-1
1783,15,104826
1140,44,80707
1659,4,72984
1277,8,-1
1798,7,-1
560,24,65331
743,10,-1
1058,13,66841
739,47,-1
1804,2,-1
1294,5,63376
534,154,40431
1403,21,-1
1869,1,-1
1721,1,86337
1558,2,62701
461,15,-1
1477,4,-1
1013,54,-1
595,24,62233
1313,2,-1
396,46,-1
571,5,-1
1739,2,-1
1069,13,-1
843,29,-1
1803,1,-1
1670,1,79672
1011,13,79213
1259,5,27857
737,76,68540
1190,14,-1
1753,2,-1
76,21,-1
1158,35,-1
869,328,28929
753,123,29931
1264,18,-1
1338,150,65172
1620,4,99045
1429,17,-1
1861,2,-1
1862,1,-1
1048,82,43801
1678,1,80663
229,185,16297
667,60,68570
1704,5,-1
454,123,65147
697,32,-1
1663,26,-1
1132,4,-1
1706,3,-1
1626,2,69079
1364,40,38851
622,74,65167
529,1165,20486
332,12,-1
1071,454,36190
1585,103,65303
1860,1,-1
399,42,65742
957,44,45325
1754,5,-1
1079,10,-1
839,31,25280
617,119,19849
1433,22,46133
778,13,-1
856,204,38517
1151,50,-1
685,5,-1
1344,32,34388
216,331,19816
1116,2,-1
1233,32,80368
644,35,-1
623,135,62166
1040,13,63342
656,138,62322
913,18,81216
1654,22,74428
620,106,66505
567,7,-1
688,76,71183
741,9,-1
1757,1,-1
1297,10,29830
1375,17,54838
975,1624,28327
875,111,37600
917,20,-1
562,21,79744
1852,1,-1
102,14,-1
1473,7,86514
501,144,38344
1787,3,99142
120,171,38519
272,131,28273
754,36,-1
755,22,-1
1017,40,-1
1292,5,-1
829,38,65339
1661,1,73890
1308,16,30241
1863,2,-1
881,23,-1
936,3,-1
1777,31,-1
733,31,74031
1405,35,-1
721,63,62442
26,1,-1
421,3,-1
608,5,-1
1213,31,32711
1463,57,62885
1795,236,80776
1428,51,62155
260,2,-1
1666,121,68570
1809,292,81338
1225,31,34386
1309,38,44824
82,1,-1
294,2,-1
937,16,-1
761,9,-1
1278,35,40683
1457,56,62688
1466,57,62891
580,5,-1
1765,170,79672
1698,132,68991
1638,105,66521
1553,67,64871
1668,121,68616
1745,154,74428
1075,22,18402
749,8,-1
1780,191,80669
805,10,-1
1077,22,18635
1049,21,9286
735,7,-1
1656,116,68063
720,7,-1
1161,28,28336
973,17,-1
129,1,-1
1819,360,86337
602,5,-1
652,6,-1
1469,58,62913
52,1,-1
1703,135,69044
1156,27,28325
1867,2081,111165
1854,838,100217
1299,37,41459
1740,153,73934
428,3,-1
443,3,-1
804,10,-1
632,6,-1
353,3,-1
1230,31,35244
840,12,-1
1616,92,65974
452,3,-1
388,3,-1
1610,87,65622
551,4,-1
1149,27,28276
1505,61,63374
1839,454,92489
329,2,-1
564,4,-1
1221,31,34124
128,1,-1
668,6,-1
1865,2000,109442
1310,38,45196
491,4,-1
341,2,-1
1186,29,30241
1615,91,65823
1501,60,63310
1160,28,28334
1322,39,46725
639,6,-1
811,10,-1
39,1,-1
363,3,-1
1644,105,67110
1820,369,86507
1231,32,35251
959,16,-1
1646,106,67118
1262,34,38880
1770,175,80368
463,4,-1
781,9,-1
1258,33,38851
398,3,-1
844,12,-1
1016,19,-1
1174,28,28792
1184,29,29830
263,2,-1
759,9,-1
1775,185,80663
1697,131,68986
1719,142,70887
963,17,-1
1437,53,62332
377,3,-1
1095,23,20488
1627,101,66386
1716,141,69285
1855,872,102938
1515,62,63406
980,18,-1
1735,151,73443
1849,602,99045
1080,22,19849
969,17,-1
1851,636,99341
621,5,-1
1786,208,80693
1814,329,82619
1785,204,80685
11,1,-1
1830,429,90673
1205,30,31987
1647,106,67694
1468,58,62893
886,13,-1
1070,21,16297
1761,169,79309
704,7,-1
1596,76,65334
1848,590,97865
1096,23,20494
1858,1165,103651
1185,29,29931
144,1,-1
1191,29,30618
616,5,-1
288,2,-1
510,4,-1
15,1,-1
126,1,-1
1339,40,47851
412,3,-1
1503,61,63363
787,10,-1
1291,35,40832
970,17,-1
1853,756,99598
669,6,-1
1202,30,31983
851,12,-1
717,7,-1
1502,60,63342
553,4,-1
1100,24,21863
828,11,-1
983,18,-1
691,7,-1
1371,42,50294
1094,23,20486
1425,50,62078
1718,141,69680
1674,123,68780
972,17,-1
1550,66,64646
425,3,-1
1424,50,61586
1106,24,21883
1114,24,25280
1624,97,66321
447,3,-1
1611,90,65704
569,5,-1
18,1,-1
870,13,-1
1303,37,41631
1773,184,80661
1640,105,66841
722,7,-1
926,15,-1
9,1,-1
198,1,-1
627,6,-1
770,9,-1
769,9,-1
1037,20,3019
924,15,-1
