id,reputation,creationdate,views,upvotes,downvotes
45405,1,1399845932,0,0,0
29469,1,1377225188,0,0,0
54539,1,1408692298,0,0,0
31557,6,1381876471,1,0,0
54160,1,1408098145,0,0,0
53189,1,1406796877,0,0,0
49759,1,1404860897,1,0,0
29020,410,1376175672,19,14,1
53738,1,1407512323,1,0,0
42237,39,1395271395,9,0,0
10630,487,1334503031,31,61,6
38472,1,1391431101,1,0,0
12726,1,1342696508,9,0,0
27277,15,1372129413,5,0,0
34738,208,1384277377,20,23,0
29739,11,1377868161,0,0,0
37551,1,1390194559,0,0,0
14477,9,1348857967,0,0,0
36866,11,1388825584,0,0,0
44379,6,1398281554,2,0,0
53519,1,1407286226,0,0,0
14604,38,1349242380,8,2,0
15951,1,1350276892,0,0,0
39726,101,1391816392,0,0,0
9899,130,1331875667,9,25,0
6044,101,1314619599,2,0,0
34566,16,1383999646,2,0,0
45717,8,1400315477,4,0,0
40895,1,1393331900,0,0,0
29686,116,1377766499,2,0,0
49398,574,1404300374,40,5,0
8755,6,1327544241,2,0,0
21369,117,1362001414,5,7,0
11917,143,1339395290,10,3,0
26787,111,1371002459,2,0,0
32546,101,1383944137,0,0,0
34765,101,1384328111,0,17,0
43236,1,1396833943,0,0,0
44857,1,1399024562,0,0,0
38155,101,1390957499,0,1,0
20685,101,1360441395,3,0,0
49371,101,1404269766,1,0,0
53621,106,1407382682,0,2,0
23902,1,1365037659,0,0,0
39645,1,1391688311,0,0,0
41071,1,1393546924,0,0,0
49288,1,1404145473,0,0,0
40487,1,1392702698,0,0,0
31039,1,1380791345,0,0,0
6723,821,1318095839,98,32,2
29687,1,1377766690,0,0,0
44665,8,1398761727,1,0,0
27118,6,1371710003,1,0,0
55332,1,1409981858,0,0,0
5895,101,1313737247,1,0,0
28726,1,1375372233,0,0,0
21489,6,1362257053,1,0,0
53580,1,1407323963,0,0,0
44680,26,1398769746,2,0,0
13829,1,1346733126,0,0,0
31541,1,1381845694,0,0,0
41690,1,1394475353,0,0,0
5145,101,1308820411,0,0,0
28857,6,1375738152,5,0,0
28478,16,1374763609,1,0,0
34780,1,1384352161,2,0,0
54948,1,1409354195,0,0,0
25259,220,1367719854,23,11,0
28819,11,1375650047,0,0,0
44865,31,1399028871,6,1,0
26157,1,1369612513,0,0,0
42374,1,1395452448,1,0,0
18094,1,1356401962,0,0,0
25129,21,1367430631,5,0,0
8482,1,1326315471,1,0,0
40796,1,1393214651,0,0,0
41672,101,1394448239,0,0,0
42666,1,1395929627,0,0,0
36305,1,1387236830,3,0,0
42865,108,1396309227,1,2,0
46861,1,1402029641,1,0,0
40420,11,1392624260,1,0,0
46462,1,1401458919,0,0,0
42973,1,1396432446,0,0,0
46572,1,1401700879,0,0,0
48731,6,1403249391,0,0,0
44674,1,1398766493,0,0,0
32444,101,1383791474,0,2,0
52672,90,1406125992,14,0,0
20788,28,1360661927,4,0,0
53248,101,1406887535,0,0,0
31430,1,1381610674,0,0,0
29756,1,1377930128,0,0,0
214,266,1279588700,31,29,0
17427,31,1354493677,8,0,0
53672,1,1407444995,0,0,0
43960,1,1397698744,0,0,0
17015,141,1353348191,9,1,0
55513,101,1410311302,0,2,0
25959,1,1369186826,1,0,0
45792,6,1400476062,1,0,0
55146,1,1409700511,0,0,0
27131,1,1371760728,3,0,0
46262,101,1401190710,0,0,0
48959,1,1403645746,1,0,0
44477,1,1398408114,0,0,0
37860,101,1390577412,0,2,0
36096,1,1386832217,0,0,0
55677,1,1410490046,1,0,0
32535,101,1383916067,0,0,0
11695,1,1338518546,0,0,0
42468,1,1395645779,0,0,0
45708,1,1400302617,0,0,0
46622,108,1401754911,2,3,0
14370,1,1348545538,0,0,0
468,141,1280212477,1,2,0
23874,26,1364984811,3,1,0
6563,1,1317296678,0,0,0
19756,1,1358346103,0,0,0
30006,1,1378466282,2,0,0
43164,1,1396672854,0,0,0
52861,1,1406368843,0,0,0
25048,1,1367282935,0,0,0
41405,1,1394037665,0,0,0
16753,101,1352690814,2,0,0
37866,101,1390589261,0,0,0
22326,1,1363833351,3,0,0
42212,16,1395216257,2,1,0
14715,38,1349567398,4,0,0
37208,101,1389484125,0,2,0
12946,113,1343551951,3,0,0
3285,36,1297885322,5,0,0
46774,101,1401939088,0,0,0
52641,1,1406092787,0,0,0
36732,88,1388408934,6,1,0
29197,6,1376573514,0,0,0
40992,33,1393463635,0,1,0
45241,1,1399562952,2,0,0
55010,6,1409509078,0,0,0
44917,11,1399143398,0,0,0
37789,103,1390526816,2,0,0
4007,8,1301784285,1,0,0
18192,20,1356824194,5,4,0
32184,56,1383286627,3,0,0
11463,5,1337603100,4,0,0
30574,14,1379856045,1,0,0
25487,1,1368167399,1,0,0
34985,108,1384798623,2,0,0
22215,1,1363660494,0,0,0
43098,1,1396571874,1,0,0
49647,175,1404724107,38,12,1
45177,1,1399494187,0,0,0
52625,11,1406081547,4,0,0
24384,101,1366011458,0,2,0
12444,11,1341547611,2,0,0
27782,101,1373300943,0,25,0
53850,1,1407737471,0,0,0
7500,101,1321833662,3,0,0
29974,6,1378415779,0,0,0
48460,3,1402912639,0,0,0
34751,101,1384310732,0,0,0
52638,1,1406090894,0,0,0
5445,146,1310941937,3,0,0
2684,101,1294365704,0,1,0
38328,6,1391190700,0,0,0
14480,11,1348861902,0,0,0
6381,101,1316440055,0,0,0
18074,101,1356277877,0,0,0
37489,1,1390039058,0,0,0
31558,6,1381880543,0,0,0
34828,6,1384432290,0,0,0
27140,118,1371785085,3,3,0
54028,101,1407936568,0,1,0
20704,1,1360500143,0,0,0
53112,21,1406705808,4,0,0
710,101,1280885076,0,0,0
26958,101,1371420601,0,0,0
23890,117,1365010472,13,1,0
19762,590,1358356114,49,53,1
30121,51,1378781304,11,0,0
22412,16,1363977727,3,0,0
54324,18,1408417372,1,0,0
40120,79,1392188676,13,6,0
4403,205,1304086382,24,4,0
41920,1,1394769169,1,0,0
14275,1,1348237484,0,0,0
44166,1,1398033495,0,0,0
44441,1,1398337400,0,0,0
41090,101,1393558640,0,1,0
34663,1,1384174556,1,0,0
49463,1,1404385358,0,0,0
24743,58,1366718340,6,7,0
45383,1,1399788023,0,0,0
11187,248,1336481876,13,27,0
18624,1,1358035869,2,0,0
41947,1,1394790594,0,0,0
2864,108,1295611201,3,3,0
46551,6,1401679715,4,0,0
19683,126,1358224443,0,0,0
35265,181,1385305395,30,4,0
38138,15,1390942518,2,1,0
39785,101,1391944952,1,0,0
35179,1,1385109222,2,0,0
44888,16,1399082051,7,0,0
6124,101,1314858900,28,0,0
29063,16,1376292601,0,0,0
20544,1,1360132639,1,0,0
55025,1,1409537416,0,0,0
25715,1,1368648629,1,0,0
47958,101,1402220665,0,4,0
29772,1,1378000624,1,0,0
54546,8,1408703999,2,0,0
32498,1,1383856938,2,0,0
9485,11,1330396826,3,0,0
46597,8,1401716564,3,0,0
45974,6,1400698443,1,0,0
37142,101,1389343677,0,0,0
44854,6,1399022552,0,0,0
49094,1,1403792285,0,0,0
54264,8,1408331314,0,0,0
18454,1,1357580913,0,0,0
54280,1,1408354587,0,0,0
41506,101,1394176102,0,0,0
12125,21,1340253374,0,0,0
29640,97,1377670140,4,4,0
25699,121,1368616673,1,0,0
44730,1,1398837381,0,0,0
13952,1,1347144561,0,0,0
44708,1,1398812686,0,0,0
30294,11,1379152283,1,0,0
49300,1,1404174922,1,0,0
54001,1,1407914079,0,0,0
6581,51,1317360146,0,0,0
26674,28,1370755622,0,2,0
39787,6,1391947438,0,0,0
159,18283,1279551939,3781,1014,59
53078,1,1406674934,0,0,0
48446,101,1402896892,0,0,0
17984,26,1355918604,1,0,0
43047,1,1396513292,0,0,0
23854,16,1364963104,0,1,0
49799,31,1404890699,2,0,0
55103,1,1409639985,0,0,0
48941,1,1403610034,0,0,0
52946,1,1406523779,0,0,0
17628,1,1355013970,0,0,0
16098,13,1350686061,1,0,0
43827,120,1397541570,3,2,0
36022,106,1386728942,4,1,0
10804,1,1335089172,0,0,0
26847,1,1371100631,0,0,0
18382,11,1357398153,4,0,0
40705,1,1393017085,0,0,0
10551,108,1334155261,1,1,0
54926,1,1409298807,0,0,0
55665,106,1410477136,0,2,0
40734,1,1393087300,0,0,0
35548,1,1385917565,1,0,0
44149,1,1397994970,0,0,0
29349,1,1376987996,0,0,0
35142,16,1385039506,12,0,0
49689,1,1404774949,1,0,0
42700,118,1395987874,1,1,0
35683,1,1386149510,6,0,0
26920,1,1371245606,0,0,0
27770,101,1373280323,0,0,0
11313,21,1336984620,8,0,0
27972,16,1373636705,2,2,0
8808,1,1327786095,0,0,0
36196,31,1387015212,1,0,0
29262,136,1376788576,5,0,0
20457,346,1359981673,29,1,0
45012,6,1399281059,0,0,0
18643,121,1358091304,2,4,0
42638,101,1395898448,3,0,0
25169,1,1367494911,0,0,0
586,101,1280368034,0,1,0
36421,101,1387424047,0,0,0
52724,1,1406184190,0,0,0
31004,26,1380731643,1,0,0
45635,1,1400158265,0,0,0
28431,1,1374665915,0,0,0
8574,1,1326773378,0,0,0
31373,16,1381430937,1,0,0
