id,creationdate,postid,relatedpostid,linktypeid
3310131,1408516167,112631,58220,1
2234455,1360169568,49360,11327,1
1492141,1331543834,24518,22209,1
2487666,1369807986,60297,47325,1
1429762,1327856659,21926,21268,1
2771238,1386616524,79150,60825,1
1326029,1319625473,17585,16381,1
2264991,1361357008,50425,13314,1
2166460,1358946861,48378,2035,1
2479550,1369306411,59873,55501,1
1161115,1317102107,16108,16054,1
1596422,1337294721,28664,28161,1
2496432,1370370495,60895,3734,1
2640656,1379241315,70024,22569,1
2200605,1359555563,48925,346,1
2655912,1380108834,70969,46185,1
91230,1287583682,3810,548,1
2274977,1361684289,49027,26529,1
2628015,1378446945,68886,5158,1
2523884,1372214684,62621,8089,1
2887118,1393126202,87553,11096,3
1983881,1355633828,45999,38715,1
3067963,1401168284,100167,25764,1
1777087,1346488599,35510,33812,1
3011940,1398597114,95418,58709,1
3036954,1399841855,97102,15329,1
2708452,1383051204,73950,56895,1
3218534,1405321578,107888,91715,1
2258631,1361127797,44480,3466,3
981,624,59,177,622
3173393,1404558129,99488,66825,1
3029647,1399466476,72533,86040,3
284385,1297073375,6966,1164,1
2381841,1363587098,52564,15776,1
724,257,584,703,9
2555200,1374108604,64676,33453,1
2571969,1375067930,64088,51718,1
3257521,1407053313,110469,12262,1
2780866,1387192633,23481,59174,1
1727469,1344164546,33726,2691,1
3034741,1399723554,97132,22804,1
571982,1305047729,10631,10363,1
3101511,1401942265,101253,91088,1
2659167,1380264099,71248,5056,1
2558935,1374348928,64829,3539,1
2533384,1372843800,63254,26450,1
2585713,1375874030,66764,1529,1
1627277,1338965566,29902,29905,1
3234319,1406051797,108837,65692,1
831850,1310992175,13206,6358,1
952,823,504,251,78
1622789,1338701061,29731,22468,1
2418232,1365609635,55777,29104,1
2835792,1390481809,83147,18480,1
2533951,1372864633,63290,38530,1
2307355,1362249543,20397,18844,1
2831356,1390223039,82863,45050,1
2493289,1370201052,60674,22374,1
3263963,1407332491,110943,8019,1
2406229,1364707510,54728,34396,3
2640921,1379259125,70089,38856,1
3033631,1399647308,97098,91872,1
2723092,1383915603,75005,74537,1
1959803,1354609613,45111,8135,1
2943914,1395683789,91243,33053,1
1919254,1352967464,19715,7975,1
1505763,1332331929,25037,6652,1
2603501,1376981087,67843,18606,1
2419947,1365733571,55921,51535,1
1580360,1336454926,28003,6033,1
3130186,1402681637,103341,20836,1
2270635,1361525536,41183,961,1
1978985,1355386128,45820,1576,1
3011713,1398586783,95404,29781,1
2838601,1390661221,12861,82497,1
2235536,1360212957,49483,49490,1
2710660,1383183684,74082,58564,1
2471714,1368870567,59384,20523,1
1485834,1331143399,24232,16480,1
2625073,1378283855,69185,19874,3
3052108,1400482535,99267,7948,3
2825445,1389866863,82495,77878,1
3310647,1408537538,112665,67533,1
3028357,1399428394,96720,29653,1
1342897,1320883088,18131,17243,1
1378003,1323613459,19571,5344,1
281653,1296795202,4350,2981,1
3282862,1407925151,111751,34636,1
704857,1308280523,11892,12029,1
2873003,1392359499,86597,60410,1
3234164,1406044136,108945,28905,1
2614863,1377674843,68525,4220,1
1892585,1351828356,16686,41638,1
1690644,1342365233,15505,631,1
2717689,1383619925,74614,59336,1
3039399,1399947575,74882,64788,1
907,858,479,374,865
2883811,1392912642,87367,44838,3
3260865,1407219463,110728,52945,1
888660,1312202657,13729,10517,1
2487939,1369821985,60363,18480,1
687118,1307867168,11609,2356,1
766227,1309752633,12611,2948,1
2819779,1389587691,81973,27730,1
2835369,1390464107,83131,3549,1
51513,1285550866,3091,2628,1
2836972,1390553936,83186,1807,1
574,435,39,496,412
2962077,1396515377,92384,16381,3
2732872,1384369282,76163,51718,1
3256409,1406985368,110417,67533,3
2851600,1391329770,84175,72834,3
3134816,1402946467,103625,41394,1
3340741,1410302190,114928,44928,1
3086337,1401689737,100865,67903,1
3119179,1402237096,102593,96563,1
2697424,1382369400,73416,52609,3
2468022,1368657557,59174,22322,1
2496718,1370392105,60919,29641,1
746,216,140,617,385
2205599,1359623371,48994,41446,1
3253710,1406870098,69173,50210,1
2431491,1366727665,56899,8754,1
2025379,1356919756,46644,46755,1
590,65,610,885,811
2686462,1381749487,70221,31755,1
1199505,1317700796,16467,16312,1
743665,1309374975,12498,1207,1
2832792,1390312465,82955,82947,3
1597214,1337321469,28515,28656,1
487,962,204,264,689
2557852,1374252719,64861,26762,1
1617154,1338363974,29121,25470,1
3003467,1398099440,94619,87896,1
2902420,1393832483,88568,8019,1
3026155,1399324103,96553,89382,1
2734166,1384440229,76583,61798,1
446,170,114,724,941
3088065,1401715460,89659,100168,1
2698323,1382425753,73355,10141,1
3163074,1404173391,105370,105260,1
2258570,1361127797,38180,28474,3
2866930,1392045651,86094,58220,1
2985895,1397539982,93853,58141,1
2579755,1375531916,66407,26313,1
1483513,1331010371,24152,23779,1
2821661,1389677993,82235,18112,1
2258290,1361127797,3369,1576,3
3104417,1401980576,101181,77634,1
2893504,1393419439,88011,28730,1
1821658,1348661335,38053,3466,1
2805121,1388800547,81164,24993,1
3148879,1403504086,104403,31,1
2782880,1387303024,78435,21103,1
2648355,1379667421,70575,63447,1
3097542,1401876850,101159,40976,1
2761720,1386122522,78168,20648,1
3157483,1403857989,105037,78365,1
2517222,1371739792,62132,539,1
2771237,1386616524,79150,44769,1
2847551,1391105887,83911,7200,1
2399289,1364310116,53380,52646,1
2397367,1364257494,53304,25290,1
2150988,1358699960,48145,22328,1
2787403,1387592169,80285,17708,1
2545594,1373533850,63943,39323,1
712115,1308524767,12118,11887,1
1619051,1338459925,29585,4211,1
2932881,1395204564,90549,70783,1
1978878,1355381126,7112,19216,1
1803877,1347759836,9202,33315,1
3311933,1408601686,112692,30159,1
2895080,1393491131,88097,70801,3
3145323,1403307916,104203,83347,1
2495662,1370327581,60848,18638,1
1811001,1348119911,20040,12386,1
2750433,1385433011,77609,5015,1
2821942,1389688416,82261,24257,1
2258645,1361127797,46608,46597,3
2673313,1381059678,1194,17825,1
1538361,1334162909,26293,25387,1
2564861,1374662558,65281,65456,1
2801686,1388577049,76973,6477,1
556099,1304702995,10450,10121,1
1710586,1343292568,362,2492,1
2713631,1383372875,74385,5534,1
71,630,50,641,192
2924978,1394813208,90063,2492,1
2979422,1397238333,93472,67204,1
2258555,1361127797,36281,36271,3
3178178,1404754419,61417,80380,1
1392105,1324808565,19195,18988,1
2258597,1361127797,40593,38290,3
2489438,1369906306,60460,5750,1
2720849,1383794740,46515,47771,1
3331974,1409623054,113965,101511,1
2793659,1388007712,80555,14301,1
2673607,1381079460,72085,12930,1
3157766,1403866980,104029,9131,3
2885965,1393042934,80081,83512,1
2475530,1369101387,48127,3466,1
909,1282119544,1813,575,1
3311653,1408591416,112749,24961,1
725,245,123,547,443
2915162,1394417000,89370,52274,1
2687151,1381785696,72775,3734,1
2508032,1371094511,61628,61454,1
79,755,857,352,438
2718930,1383679457,74718,74350,1
3128110,1402584700,102998,31326,1
2381843,1363587098,52564,949,1
505207,1303789750,9987,9573,1
1918377,1352931140,32370,11876,1
2667837,1380745794,71747,13326,1
3222461,1405506884,108199,65128,1
2483650,1369573899,60074,56066,1
798,208,227,82,936
3008411,1398347313,95038,65692,1
2595020,1376443027,67280,67185,1
2883846,1392913731,87370,86508,1
2109122,1357910904,23136,38928,1
2933222,1395213372,90499,49443,1
2148565,1358650068,48112,22501,1
1575218,1336134961,27721,20452,1
2880251,1392738063,87053,83296,1
2729267,1384187038,76230,76258,3
1504110,1332247417,24964,3352,1
2545081,1373512608,64006,15664,1
2681383,1381486011,72453,72573,1
3308206,1408431865,109644,69157,1
2814175,1389267751,81674,3200,1
2913810,1394339730,89335,11096,3
2648472,1379675182,70600,29719,1
2822302,1389708231,82277,63389,1
1431599,1327985606,22015,12558,1
100255,1288046440,2032,652,1
2798097,1388309815,80809,67623,1
2486346,1369731757,60254,60257,1
1675673,1341542329,31755,29190,1
3231263,1405926297,47764,108705,1
2955653,1396236859,91982,91796,3
274968,1296223125,6670,168,1
2885746,1393027755,87479,48786,1
3124522,1402449825,102961,421,1
2258520,1361127797,33812,35510,3
2609006,1377342230,68245,11919,1
1559453,1335343893,27103,26914,1
3162628,1404153090,105346,38004,1
2520052,1371971109,20565,19948,1
3038348,1399891907,97365,9751,1
3007586,1398316643,95023,14226,1
2847358,1391087350,83914,30728,1
2819690,1389584362,82082,4700,1
2541466,1373342466,63689,63690,1
2921215,1394632324,89793,85560,1
2422152,1365960885,55928,55778,1
2896061,1393523748,88188,60218,1
737,650,685,958,631
2233233,1360144679,49421,2691,1
838840,1311151847,13301,12262,1
1768476,1346120469,35230,35192,1
2926325,1394892863,90130,27958,3
2627934,1378443008,69349,64476,1
1353637,1321711792,18336,18538,1
886,346,70,445,522
2673314,1381059678,1194,18896,1
3139492,1403141956,103969,103930,1
2707916,1383028120,74039,41467,1
2195568,1359435277,48627,118,1
2525836,1372323579,62755,62646,1
2497003,1370406205,60895,11337,3
3037672,1399871242,97186,63978,1
2916766,1394468386,89530,88158,1
3006025,1398237296,78322,12623,1
2549299,1373787480,64286,555,1
3151303,1403596878,104567,29781,1
1855746,1350239958,40384,7925,1
1969408,1355019766,16381,11887,1
3325520,1409284704,113674,63386,1
1468899,1330084041,21619,21752,1
2892895,1393401861,45165,13197,3
3230956,1405910689,108577,29905,1
1714734,1343463983,33262,575,1
3034408,1399705043,97180,24827,1
2840036,1390750882,83392,81074,1
2699772,1382512885,57359,12029,1
3220031,1405400843,108012,517,1
3047836,1400247795,99014,98971,1
3030129,1399489627,96867,96027,1
1677150,1341626151,31780,5774,1
