id,posttypeid,creationdate,score,viewcount,owneruserid,answercount,commentcount,favoritecount,lasteditoruserid
4700,1,1290096208,40,35854,1991,4,2,22,930
84269,1,1391399663,0,30,37549,0,0,-1,-2
88943,1,1394019079,6,70,41384,1,0,-1,88
113467,2,1409130682,0,-1,28520,-1,0,-1,-2
49321,2,1360055375,3,-1,12147,-1,2,-1,12147
61874,1,1371371796,2,151,22341,0,2,-1,22341
6844,2,1296709251,1,-1,3033,-1,2,-1,-2
86188,1,1392088204,0,74,38111,0,2,-1,88
110081,2,1406744537,0,-1,28309,-1,0,-1,-2
38404,2,1349085531,2,-1,11032,-1,3,-1,-2
24306,1,1331159038,3,147,9687,1,0,1,930
55247,1,1365143112,8,529,7255,2,4,3,7255
56392,1,1366192785,1,590,22022,0,5,1,-2
73391,2,1382348728,0,-1,31760,-1,0,-1,919
73236,2,1382171462,3,-1,22088,-1,1,-1,22088
32537,2,1342585293,5,-1,3382,-1,6,-1,7290
110319,2,1406892297,0,-1,32036,-1,0,-1,-2
110630,2,1407166099,4,-1,805,-1,4,-1,805
65732,1,1374889371,3,72,14730,1,2,-1,-2
111561,2,1407814817,2,-1,307,-1,0,-1,-2
83955,1,1391126801,0,217,24371,1,0,-1,-2
100003,1,1401000941,0,44,44795,1,0,1,-2
21861,4,1327715175,0,-1,0,-1,0,-1,0
74591,2,1383575994,1,-1,805,-1,6,-1,805
43782,1,1353069492,3,370,16927,0,0,-1,7290
19154,1,1322603645,2,142,795,1,0,-1,-2
96757,2,1399442972,0,-1,196,-1,5,-1,-2
57267,2,1366888770,0,-1,24498,-1,0,-1,-2
7673,2,1298774006,3,-1,887,-1,0,-1,887
30924,2,1340328857,5,-1,4376,-1,2,-1,-2
88490,1,1393765652,2,73,36680,1,2,-1,32036
72921,2,1381867884,1,-1,12359,-1,0,-1,12359
105889,1,1404538704,0,24,44169,0,0,-1,-2
114612,1,1410075465,0,16,54994,0,6,-1,7290
103556,2,1402902343,0,-1,48416,-1,0,-1,-2
88957,2,1394025626,3,-1,7290,-1,5,-1,7290
16326,1,1317460879,4,426,6605,4,0,-1,183
92972,1,1396911597,0,27,26200,0,5,-1,26200
30852,1,1340228069,1,134,11700,1,0,-1,3826
14848,2,1314332295,0,-1,5926,-1,1,-1,-2
22421,2,1328633610,4,-1,2719,-1,2,-1,2719
3294,1,1286152385,28,4196,1495,8,2,35,88
48498,1,1359081982,1,111,20069,0,0,-1,88
17524,2,1319537847,1,-1,4253,-1,2,-1,-2
92125,1,1396323961,1,39,42876,1,0,-1,-2
47800,2,1358247870,4,-1,919,-1,2,-1,919
5659,2,1292880602,0,-1,1112,-1,2,-1,-2
34769,1,1345523524,17,2359,10389,5,4,12,17230
25096,2,1332422384,2,-1,9975,-1,1,-1,-2
7503,2,1298360275,3,-1,307,-1,3,-1,-2
71491,2,1380530792,14,-1,27435,-1,2,-1,44269
100818,2,1401650814,2,-1,7290,-1,1,-1,-2
85823,4,1391780670,0,-1,21599,-1,0,-1,21599
34561,1,1345218648,2,112,13063,0,0,-1,-2
89793,1,1394622695,4,120,9608,1,3,-1,7290
3679,2,1287312101,1,-1,-2,-1,0,-1,-2
46344,2,1356015434,7,-1,4253,-1,2,-1,-2
34230,2,1344843402,2,-1,858,-1,0,-1,-2
102985,2,1402460983,0,-1,6768,-1,0,-1,-2
83088,2,1390429586,0,-1,8013,-1,0,-1,-2
2821,2,1284783660,0,-1,1349,-1,0,-1,7290
56903,2,1366642101,0,-1,20381,-1,11,-1,20381
114986,1,1410332293,0,16,31619,0,0,1,31619
94984,2,1398295140,1,-1,22047,-1,0,-1,22047
45905,1,1355463534,1,137,17833,0,6,-1,-2
73758,1,1382676184,0,18,25973,0,0,-1,-2
70543,1,1379597183,1,69,8320,0,2,2,-2
114343,1,1409812901,0,13,54887,0,2,-1,-2
13012,2,1310578346,3,-1,2669,-1,1,-1,-2
26181,2,1334032794,2,-1,10380,-1,0,-1,-2
48152,1,1358694081,0,42,5341,1,0,-1,686
87733,1,1393253006,1,33,40827,0,1,-1,-2
62163,5,1371668306,0,-1,805,-1,0,-1,805
1975,2,1282315524,3,-1,603,-1,0,-1,603
35070,1,1345845046,6,186,5176,1,0,1,11032
43823,2,1353125637,4,-1,5739,-1,0,-1,-2
76755,1,1384607645,0,91,34884,0,0,-1,-2
59410,2,1368880931,1,-1,25706,-1,0,-1,-2
77827,2,1385519268,2,-1,17230,-1,0,-1,-2
40830,2,1350744414,1,-1,11030,-1,0,-1,11030
58911,2,1368447863,0,-1,4598,-1,5,-1,4598
71367,2,1380393250,2,-1,805,-1,0,-1,805
51426,2,1362504400,1,-1,686,-1,0,-1,-2
82458,1,1389847849,0,39,37398,0,1,-1,-2
114778,1,1410202477,0,25,55169,0,0,-1,-2
68187,1,1377247605,4,79,2221,0,6,1,-2
113474,1,1409132656,0,47,54807,0,5,-1,54807
85891,2,1391851586,0,-1,16049,-1,2,-1,-2
