id,count,excerptpostid
1049,48,81196
930,27,-1
892,34,-1
755,22,-1
1277,8,-1
765,22,-1
26,75,87156
318,792,466
443,253,31288
219,614,28325
741,9,-1
159,885,20488
1487,92,52547
1218,11,66386
398,150,2601
1710,5,85829
1114,60,68537
652,39,18635
743,10,-1
1429,17,-1
1864,1,-1
667,60,68570
993,20,90223
675,91,65816
1084,10,68991
1403,21,-1
1439,45,-1
1733,25,-1
1785,1,-1
1100,5,-1
592,36,28774
962,802,532
862,897,84
843,29,-1
1425,2,44824
236,663,841
1829,3,109367
1779,4,-1
139,738,522
875,111,37600
1851,2,-1
1184,16,62891
471,45,-1
1431,6,-1
882,761,642
740,70,65169
616,138,-1
252,725,191
1254,6,-1
1168,9,21796
753,123,29931
1568,28,65535
1079,10,-1
979,111,65020
418,112,742
454,123,65147
128,189,-1
1074,24,-1
877,37,-1
1149,63,99341
1220,2,65508
1047,101,17909
270,16,-1
1640,5,74455
912,53,67118
1004,31,80709
1061,13,-1
426,620,413
1849,1,112069
1607,3,-1
754,36,-1
463,153,40435
1244,3,-1
685,5,-1
1674,22,-1
1505,9,-1
1593,6,64995
124,98,79731
250,176,658
253,443,790
534,154,40431
153,519,529
1661,1,73890
595,24,62233
1626,2,69079
575,153,68621
59,316,33480
1519,8,-1
540,42,15332
1735,30,88969
1262,7,27149
840,11,-1
676,72,35463
203,8,66382
1201,57,-1
973,19,-1
400,971,862
874,867,871
1585,103,65303
758,22,-1
323,225,28900
1212,13,23848
711,100,267
1140,44,80707
218,452,33486
1676,1,80766
121,135,26618
569,105,58823
427,342,64221
1552,11,62978
421,142,68063
1719,7,-1
628,160,32711
913,18,81216
1101,29,-1
620,106,66505
1398,21,40825
11,219,28276
1865,1,-1
1375,17,54838
905,21,79438
937,35,-1
1414,30,44696
1666,26,-1
553,12,80776
510,91,-1
939,19,80695
1175,51,-1
1863,2,-1
1217,60,41311
495,449,267
1600,4,-1
1554,6,67698
1562,4,-1
972,6,-1
785,151,41502
481,184,43
634,121,63406
1347,18,-1
1270,8,-1
769,267,28297
736,47,-1
524,595,872
582,885,365
1135,20,-1
1698,3,-1
1757,1,-1
1013,54,-1
1233,32,80368
493,118,31987
210,252,28334
694,170,47332
176,489,8944
1158,35,-1
1787,3,99142
1836,1,-1
1818,1,-1
735,7,80778
529,1165,20486
340,386,8577
1050,66,38034
1299,61,81698
33,244,909
1689,3,-1
1780,4,-1
1327,5,65320
1253,11,-1
1368,3,80685
1055,5,103651
1087,6,-1
241,499,53
1803,267,81216
1495,60,63296
1613,91,65742
1659,117,68411
399,3,-1
39,12,751
1537,64,64367
229,2,-1
1660,118,68535
494,272,892
1006,18,-1
1828,386,88969
865,13,-1
1191,29,30618
177,1,-1
1697,131,68986
1071,22,16420
1750,157,76604
1869,7244,112071
1096,23,20494
781,9,-1
1489,60,63188
1463,57,62885
1649,108,67698
585,5,-1
943,16,-1
591,198,596
805,10,-1
810,10,-1
804,10,-1
1361,42,49116
1186,29,30241
288,2,-1
21,1,-1
1616,92,65974
668,6,-1
50,1,-1
1714,140,69281
46,1,-1
1231,32,35251
1596,76,65334
990,940,719
1259,33,38858
1668,121,68616
461,380,963
1822,380,86514
333,2,-1
989,18,-1
397,167,699
1384,44,52881
135,1,-1
1745,154,74428
869,13,-1
85,1,-1
1449,55,62442
1569,70,65147
1116,24,25853
816,11,-1
1374,44,51631
911,14,-1
985,18,-1
746,8,-1
283,2,-1
1415,49,60291
744,44,22
1647,106,67694
739,8,-1
438,3,-1
665,457,379
1716,141,69285
661,6,-1
1806,289,81234
1591,75,65320
1532,63,63555
1662,119,68540
594,5,-1
1815,331,85823
1132,25,27857
541,4,-1
567,4,-1
1239,32,37600
1746,154,74455
745,408,593
1549,65,64391
730,7,-1
1325,39,46732
182,389,117
1185,29,29931
951,16,-1
1294,36,41309
1679,127,68971
1844,489,96219
1656,116,68063
1010,19,-1
691,7,-1
945,16,-1
92,407,420
1764,170,79453
1788,219,80705
217,126,885
975,17,-1
41,1,-1
402,38,36
1469,58,62913
733,7,-1
1097,23,21498
1628,102,66443
1424,50,61586
617,5,-1
1862,1362,107801
574,876,661
690,907,328
700,7,-1
1861,1338,107659
926,15,-1
446,3,-1
334,2,-1
1772,181,80392
1775,185,80663
1550,66,64646
915,329,736
621,5,-1
851,12,-1
1183,29,29148
272,2,-1
310,2,-1
1792,225,80766
1570,70,65167
1503,61,63363
994,807,630
589,5,-1
1421,49,61383
1760,167,79219
1308,38,44810
1234,32,37549
648,6,-1
811,10,-1
657,933,324
459,4,-1
412,3,-1
788,10,-1
1553,67,64871
198,1,-1
1154,27,28305
823,11,-1
565,4,-1
200,1,-1
1736,153,73839
377,3,-1
1644,105,67110
630,710,247
497,4,-1
1064,21,14609
722,7,-1
1108,24,22111
373,3,-1
1567,70,65143
305,175,736
491,4,-1
1373,44,50760
429,3,-1
780,90,722
1611,90,65704
1599,78,65339
1718,141,69680
1701,132,69007
1761,169,79309
15,1,-1
256,2,-1
1739,153,73890
1018,20,2331
1129,25,26938
1860,1333,104826
1841,457,93186
1291,35,40832
580,5,-1
263,2,-1
345,2,-1
1345,40,48003
807,825,244
1147,27,28273
1670,121,68621
1648,107,67696
394,278,171
90,7,701
413,766,998
450,13,791
0,997,260
815,766,262
96,755,944
641,665,679
513,50,219
348,340,9
952,440,430
761,841,569
60,183,408
596,751,452
25,906,712
51,799,645
439,32,236
100,578,782
830,969,725
131,466,690
953,691,383
24,687,68
885,54,275
618,374,927
223,692,994
958,360,508
130,400,601
542,936,622
285,458,353
111,654,619
703,413,794
405,541,129
321,341,589
167,189,793
903,392,461
105,279,282
87,329,616
488,674,767
763,872,751
982,709,195
678,554,17
884,81,739
627,270,795
194,306,893
824,435,816
