id,postid,votetypeid,creationdate,userid,bountyamount
234021,63124,5,1372780800,25675,-1
179754,46719,2,1356796800,-2,-1
272954,52754,2,1383667200,-2,-1
326514,92761,16,1396713600,-2,-1
227661,60153,5,1371052800,17463,-1
16148,3909,2,1288022400,-2,-1
126472,31090,2,1340640000,-2,-1
378393,17254,2,1408550400,-2,-1
237803,61062,1,1373817600,-2,-1
112259,27619,1,1335974400,-2,-1
257256,41201,2,1379260800,-2,-1
275295,25686,2,1384099200,-2,-1
305969,84162,5,1392048000,12043,-1
34234,7919,2,1299340800,-2,-1
283730,79107,2,1386604800,-2,-1
260750,71129,2,1380124800,-2,-1
349996,101255,5,1401984000,37896,-1
261023,44061,2,1380211200,-2,-1
212292,56935,2,1366646400,-2,-1
73651,17618,2,1319731200,-2,-1
64157,15164,2,1314979200,-2,-1
233782,63163,2,1372694400,-2,-1
338323,97184,2,1399737600,-2,-1
201208,52513,2,1363449600,-2,-1
337594,16798,2,1399478400,-2,-1
162331,41198,2,1351094400,-2,-1
210505,56314,2,1366128000,-2,-1
385778,114763,5,1410451200,3826,-1
56633,13259,2,1311091200,-2,-1
157654,18973,5,1349798400,14730,-1
23110,5407,2,1292083200,-2,-1
262419,71632,2,1380556800,-2,-1
349471,41771,2,1401897600,-2,-1
221373,6214,16,1369238400,-2,-1
332806,94974,2,1398268800,-2,-1
385785,114783,2,1410451200,-2,-1
298250,17537,5,1390752000,37983,-1
188282,47046,1,1359129600,-2,-1
152837,23666,2,1348675200,-2,-1
65993,11168,2,1316188800,-2,-1
380815,113531,2,1409155200,-2,-1
228226,60812,2,1371225600,-2,-1
311374,87748,2,1393257600,-2,-1
61736,14474,2,1313683200,-2,-1
240102,64988,2,1374336000,-2,-1
71407,16921,5,1318867200,253,-1
345170,13655,2,1401120000,-2,-1
251077,68230,2,1377273600,-2,-1
359799,105316,2,1404057600,-2,-1
25505,5990,2,1294070400,-2,-1
26541,5504,5,1294934400,2714,-1
296502,83076,2,1390406400,-2,-1
214827,57584,1,1367424000,-2,-1
147458,36009,2,1347206400,-2,-1
299187,83769,2,1390924800,-2,-1
222758,60256,2,1369670400,-2,-1
125911,31028,2,1340467200,-2,-1
194684,50368,2,1361289600,-2,-1
297378,83288,1,1390579200,-2,-1
139193,34221,5,1344787200,6897,-1
95895,23471,1,1328803200,-2,-1
284611,10133,2,1386777600,-2,-1
212912,57157,2,1366819200,-2,-1
178252,41726,5,1356019200,14727,-1
30287,6475,2,1297267200,-2,-1
109713,26970,2,1335196800,-2,-1
158375,7948,2,1350057600,-2,-1
